Number,# of Divisors,# of Factors,Fermat,Gaussian Prime,Highly Composite,Mod 5,Mod 6,Powerful,Pronic,Squarefree
1893,2,2,0,0,0,3,3,0,0,1
1894,2,2,0,0,0,4,4,0,0,1
1895,2,2,0,0,0,0,5,0,0,1
1896,14,3,0,0,0,1,0,0,0,0
1897,2,2,0,0,0,2,1,0,0,1
1898,6,3,0,0,0,3,2,0,0,1
1899,4,2,0,0,0,4,3,0,0,0
1900,16,3,0,0,0,0,4,0,0,0
1901,0,1,1,0,0,1,5,0,0,1
1902,6,3,0,0,0,2,0,0,0,1
1903,2,2,0,0,0,3,1,0,0,1
1904,18,3,0,0,0,4,2,0,0,0
1905,6,3,1,0,0,0,3,0,0,1
1906,2,2,0,0,0,1,4,0,0,1
1907,0,1,1,1,0,2,5,0,0,1
1908,16,3,0,0,0,3,0,0,0,0
1909,2,2,0,0,0,4,1,0,0,1
1910,6,3,0,0,0,0,2,0,0,1
1911,10,3,0,0,0,1,3,0,0,0
1912,6,2,0,0,0,2,4,0,0,0
1913,0,1,1,0,0,3,5,0,0,1
1914,14,4,0,0,0,4,0,0,0,1
1915,2,2,0,0,0,0,1,0,0,1
1916,4,2,0,0,0,1,2,0,0,0
1917,6,2,0,0,0,2,3,0,0,0
1918,6,3,0,0,0,3,4,0,0,1
1919,2,2,0,0,0,4,5,0,0,1
1920,30,3,0,0,0,0,0,0,0,0
1921,2,2,0,0,0,1,1,0,0,1
1922,4,2,0,0,0,2,2,0,0,0
1923,2,2,0,0,0,3,3,0,0,1
1924,10,3,0,0,0,4,4,0,0,0
1925,10,3,0,0,0,0,5,0,0,0
1926,10,3,0,0,0,1,0,0,0,0
1927,2,2,0,0,0,2,1,0,0,1
1928,6,2,0,0,0,3,2,0,0,0
1929,2,2,0,0,0,4,3,0,0,1
1930,6,3,0,0,0,0,4,0,0,1
1931,0,1,1,1,0,1,5,0,0,1
1932,22,4,0,0,0,2,0,0,0,0
1933,0,1,1,0,0,3,1,0,0,1
1934,2,2,0,0,0,4,2,0,0,1
1935,10,3,0,0,0,0,3,0,0,0
1936,13,2,0,0,0,1,4,1,0,0
1937,2,2,0,0,0,2,5,0,0,1
1938,14,4,0,0,0,3,0,0,0,1
1939,2,2,0,0,0,4,1,0,0,1
1940,10,3,0,0,0,0,2,0,0,0
1941,2,2,0,0,0,1,3,0,0,1
1942,2,2,0,0,0,2,4,0,0,1
1943,2,2,0,0,0,3,5,0,0,1
1944,22,2,0,0,0,4,0,1,0,0
1945,2,2,0,0,0,0,1,0,0,1
1946,6,3,0,0,0,1,2,0,0,1
1947,6,3,0,0,0,2,3,0,0,1
1948,4,2,0,0,0,3,4,0,0,0
1949,0,1,1,0,0,4,5,0,0,1
1950,22,4,0,0,0,0,0,0,0,0
1951,0,1,1,1,0,1,1,0,0,1
1952,10,2,0,0,0,2,2,0,0,0
1953,10,3,0,0,0,3,3,0,0,0
1954,2,2,0,0,0,4,4,0,0,1
1955,6,3,0,0,0,0,5,0,0,1
1956,10,3,0,0,0,1,0,0,0,0
1957,2,2,0,0,0,2,1,0,0,1
1958,6,3,0,0,0,3,2,0,0,1
1959,2,2,0,0,0,4,3,0,0,1
1960,22,3,0,0,0,0,4,0,0,0
1961,2,2,0,0,0,1,5,0,0,1
1962,10,3,0,0,0,2,0,0,0,0
1963,2,2,0,0,0,3,1,0,0,1
1964,4,2,0,0,0,4,2,0,0,0
1965,6,3,0,0,0,0,3,0,0,1
1966,2,2,0,0,0,1,4,0,0,1
1967,2,2,0,0,0,2,5,0,0,1
1968,18,3,0,0,0,3,0,0,0,0
1969,2,2,0,0,0,4,1,0,0,1
1970,6,3,0,0,0,0,2,0,0,1
1971,6,2,0,0,0,1,3,0,0,0
1972,10,3,0,0,0,2,4,0,0,0
1973,0,1,1,0,0,3,5,0,0,1
1974,14,4,0,0,0,4,0,0,0,1
1975,4,2,0,0,0,0,1,0,0,0
1976,14,3,0,0,0,1,2,0,0,0
1977,2,2,0,0,0,2,3,0,0,1
1978,6,3,0,0,0,3,4,0,0,1
1979,0,1,1,1,0,4,5,0,0,1
1980,34,4,0,0,0,0,0,0,1,0
1981,2,2,0,0,0,1,1,0,0,1
1982,2,2,0,0,0,2,2,0,0,1
1983,2,2,0,0,0,3,3,0,0,1
1984,12,2,0,0,0,4,4,0,0,0
1985,2,2,0,0,0,0,5,0,0,1
1986,6,3,0,0,0,1,0,0,0,1
1987,0,1,1,1,0,2,1,0,0,1
1988,10,3,0,0,0,3,2,0,0,0
1989,10,3,0,0,0,4,3,0,0,0
1990,6,3,0,0,0,0,4,0,0,1
1991,2,2,0,0,0,1,5,0,0,1
1992,14,3,0,0,0,2,0,0,0,0
1993,0,1,1,0,0,3,1,0,0,1
1994,2,2,0,0,0,4,2,0,0,1
1995,14,4,0,0,0,0,3,0,0,1
1996,4,2,0,0,0,1,4,0,0,0
1997,0,1,1,0,0,2,5,0,0,1
1998,14,3,0,0,0,3,0,0,0,0
1999,0,1,1,1,0,4,1,0,0,1
2000,18,2,0,0,0,0,2,1,0,0
2001,6,3,0,0,0,1,3,0,0,1
2002,14,4,0,0,0,2,4,0,0,1
2003,0,1,1,1,0,3,5,0,0,1
2004,10,3,0,0,0,4,0,0,0,0
2005,2,2,0,0,0,0,1,0,0,1
2006,6,3,0,0,0,1,2,0,0,1
2007,4,2,0,0,0,2,3,0,0,0
2008,6,2,0,0,0,3,4,0,0,0
2009,4,2,0,0,0,4,5,0,0,0
2010,14,4,0,0,0,0,0,0,0,1
2011,0,1,1,1,0,1,1,0,0,1
2012,4,2,0,0,0,2,2,0,0,0
2013,6,3,0,0,0,3,3,0,0,1
2014,6,3,0,0,0,4,4,0,0,1
2015,6,3,0,0,0,0,5,0,0,1
2016,34,3,0,0,0,1,0,0,0,0
2017,0,1,1,0,0,2,1,0,0,1
2018,2,2,0,0,0,3,2,0,0,1
2019,2,2,0,0,0,4,3,0,0,1
2020,10,3,0,0,0,0,4,0,0,0
2021,2,2,0,0,0,1,5,0,0,1
2022,6,3,0,0,0,2,0,0,0,1
2023,4,2,0,0,0,3,1,0,0,0
2024,14,3,0,0,0,4,2,0,0,0
2025,13,2,0,0,0,0,3,1,0,0
2026,2,2,0,0,0,1,4,0,0,1
2027,0,1,1,1,0,2,5,0,0,1
2028,16,3,0,0,0,3,0,0,0,0
2029,0,1,1,0,0,4,1,0,0,1
2030,14,4,0,0,0,0,2,0,0,1
2031,2,2,0,0,0,1,3,0,0,1
2032,8,2,0,0,0,2,4,0,0,0
2033,2,2,0,0,0,3,5,0,0,1
2034,10,3,0,0,0,4,0,0,0,0
2035,6,3,0,0,0,0,1,0,0,1
2036,4,2,0,0,0,1,2,0,0,0
2037,6,3,0,0,0,2,3,0,0,1
2038,2,2,0,0,0,3,4,0,0,1
2039,0,1,1,1,0,4,5,0,0,1
2040,30,4,0,0,0,0,0,0,0,0
2041,2,2,0,0,0,1,1,0,0,1
2042,2,2,0,0,0,2,2,0,0,1
2043,4,2,0,0,0,3,3,0,0,0
2044,10,3,0,0,0,4,4,0,0,0
2045,2,2,0,0,0,0,5,0,0,1
2046,14,4,0,0,0,1,0,0,0,1
2047,2,2,1,0,0,2,1,0,0,1
2048,10,1,0,0,0,3,2,1,0,0
2049,2,2,0,0,0,4,3,0,0,1
